Week,Simulated_Dengue_Cases,Rainfall_mm,Temperature_C,Humidity_%,Population_Density,Fogging,Larvicide_Use,Seasonality,Simulated_Dengue_Cases_Noised,Rainfall_mm_lag1,Rainfall_mm_lag2,Rainfall_mm_lag3,Rainfall_Temperature_Interaction,Fogging_Cases_Interaction,Larvicide_Cases_Interaction,Rolling_95th_Percentile,True_Outbreak,Outbreak_Status,Severe_Outbreak_Status,Outbreak_Binary,Severe_Outbreak_Binary
0,10,143.63502971184062,33.168098265334834,60.15184751538656,5380.261151231863,0,1,0.0,34.83570765056163,,,,4764.100779826618,0.0,34.83570765056163,34.83570765056163,No,No,No,0,0
1,36,287.67857660247904,27.243630062339875,64.82424154252496,19439.726220168875,0,0,0.120536680255323,29.08678494144077,143.63502971184062,,,7837.408717818443,0.0,0.0,34.54826151510559,No,No,No,0,0
2,46,232.99848545285127,28.693446307320663,76.46201368099759,17539.701807683086,0,1,0.2393156642875577,78.38442690503462,287.67857660247904,143.63502971184062,,6685.529532028423,0.0,78.38442690503462,74.02955497958732,No,No,No,0,0
3,58,199.66462104925915,31.799960246887437,80.7568559307808,15439.61309140547,1,1,0.3546048870425356,134.15149282040127,232.99848545285127,287.67857660247904,143.63502971184062,6349.327012076285,134.15149282040127,134.15149282040127,125.78643293309624,No,No,No,0,0
4,72,89.00466011060912,27.0591834894246,79.55883778507801,11134.294166214047,1,1,0.4647231720437685,60.292331263833205,199.66462104925915,232.99848545285127,287.67857660247904,2408.393429346843,60.292331263833205,60.292331263833205,122.99807963732792,No,No,No,0,0
5,90,88.99863008405066,25.692819188459136,66.7280792838168,7599.414801062687,1,0,0.5680647467311558,78.29315215254097,89.00466011060912,199.66462104925915,232.99848545285127,2286.6257107700735,78.29315215254097,0.0,120.20972634155962,No,No,No,0,0
6,111,64.52090304204987,27.60776307622391,81.36537664042608,7346.555640066291,0,0,0.6631226582407952,189.96064077536957,88.99863008405066,89.00466011060912,199.66462104925915,1781.2778046489273,0.0,0.0,173.21789638887904,No,No,No,0,0
7,138,266.5440364437338,26.45099158528604,67.117472624904,8753.64347246893,0,0,0.7485107481711011,176.37173645764543,64.52090304204987,88.99863008405066,89.00466011060912,7050.3540650813775,0.0,0.0,185.2045242641661,No,No,No,0,0
8,172,200.2787529358022,33.36727887108316,69.76199094477803,13238.399970591809,0,0,0.8229838658936564,148.52628070325238,266.5440364437338,64.52090304204987,88.99863008405066,6682.757001161677,0.0,0.0,184.5250790482799,No,No,No,0,0
9,214,227.01814444901137,32.27308341607975,82.39474215354072,15718.938840500936,0,1,0.8854560256532098,241.12800217929825,200.2787529358022,266.5440364437338,64.52090304204987,7326.575512766586,0.0,241.12800217929825,218.10268954753028,No,No,No,0,0
10,265,55.14612357395061,30.70063380859381,79.48898697141644,14902.960650765968,0,1,0.9350162426854148,241.82911535937689,227.01814444901137,200.2787529358022,266.5440364437338,1693.0209458073202,0.0,241.82911535937689,241.47855876933755,No,No,No,0,0
11,329,292.4774630404986,32.84314531168946,85.47670231482533,9199.008454189145,1,1,0.970941817426052,305.71351232148714,55.14612357395061,227.01814444901137,200.2787529358022,9605.87981903338,305.71351232148714,305.71351232148714,270.57709399232647,Yes,No,No,0,0
12,408,258.11066020010543,32.233048692092034,79.7283867690103,19322.979209947913,0,1,0.992708874098054,420.0981135783017,292.4774630404986,55.14612357395061,227.01814444901137,8319.69347817802,0.0,420.0981135783017,357.1865828870536,Yes,No,No,0,0
13,506,103.08477766956904,26.679130529974323,77.04925810006415,16068.453750436527,0,1,1.0,410.3359877671101,258.11066020010543,292.4774630404986,55.14612357395061,2750.2122390998147,0.0,410.3359877671101,414.7289443821463,No,No,No,0,0
14,628,95.45624180177516,33.0330309864098,62.81024303484278,13315.310787671013,0,1,0.992708874098054,541.7541083743483,103.08477766956904,258.11066020010543,292.4774630404986,3153.2089932842646,0.0,541.7541083743483,474.8433112365226,No,No,No,0,0
15,777,95.85112746335844,29.854080177240856,71.03147409178301,14175.811193515285,1,1,0.970941817426052,748.8856235379513,95.45624180177516,103.08477766956904,258.11066020010543,2861.5472443700364,748.8856235379513,748.8856235379513,634.9632901979695,No,No,No,0,0
16,961,126.06056073988444,32.26696139647656,67.95607103045177,11294.000936416847,0,1,0.9350162426854148,910.3584439832788,95.85112746335844,95.45624180177516,103.08477766956904,4067.59124701204,0.0,910.3584439832788,821.5483927383485,No,No,No,0,0
17,1191,181.18910790805947,33.06482169931144,67.3196893013725,8715.964842517362,0,0,0.8854560256532099,1206.7123666297637,126.06056073988444,95.85112746335844,95.45624180177516,5990.985546837286,0.0,0.0,1043.717709174197,No,No,No,0,0
18,1470,157.98625466052894,27.862031274746776,89.19031664257336,10339.590179768924,0,0,0.8229838658936565,1424.5987962239394,181.18910790805947,126.06056073988444,95.85112746335844,4401.817968331766,0.0,0.0,1304.761259947143,No,No,No,0,0
19,1813,122.80728504951048,25.99046732074909,71.79293174000281,16367.691656965537,1,0,0.7485107481711013,1742.3848149332357,157.98625466052894,181.18910790805947,126.06056073988444,3191.8187288292206,1742.3848149332357,0.0,1567.6025046431223,No,No,No,0,0
20,2232,202.9632236805949,27.051416462877476,86.7613966553134,5215.902329446338,0,1,0.6631226582407952,2305.282438446078,122.80728504951048,157.98625466052894,181.18910790805947,5490.442690431928,0.0,2305.282438446078,1995.688745514014,No,No,No,0,0
21,2745,84.87346516301047,28.84397009763631,78.93415877991788,6741.089607603743,1,1,0.5680647467311558,2733.7111849756734,202.9632236805949,122.80728504951048,157.98625466052894,2448.0876912446506,2733.7111849756734,2733.7111849756734,2498.0753743843957,No,No,No,0,0
22,3368,123.03616213380454,32.36213289330244,83.84433910624945,5690.039630326291,1,0,0.464723172043769,3371.376410234396,84.87346516301047,202.9632236805949,122.80728504951048,3981.712629656088,3371.376410234396,0.0,3020.660536342098,No,No,No,0,0
23,4109,141.59046082342292,32.74657524930709,75.07911279315576,5610.932034784552,0,1,0.3546048870425358,4037.762590689327,123.03616213380454,84.87346516301047,202.9632236805949,4636.602679938286,0.0,4037.762590689327,3671.2501914391146,No,No,No,0,0
24,5003,164.01749605425897,25.062569174780716,77.30711653879078,17831.908760165108,0,1,0.2393156642875576,4975.780863773741,141.59046082342292,123.03616213380454,84.87346516301047,4110.699840734189,0.0,4975.780863773741,4459.870813577312,No,No,No,0,0
25,6067,246.2939903482534,29.59672572319809,74.77553081456591,15554.867890700356,1,0,0.120536680255323,6072.546129485493,164.01749605425897,141.59046082342292,123.03616213380454,7289.495679609254,6072.546129485493,0.0,5469.325233344029,No,No,No,0,0
26,7315,99.91844553958994,28.75669902833901,65.85728963394133,12112.607436309878,0,0,-3.216245299353273e-16,7257.450321128885,246.2939903482534,164.01749605425897,141.59046082342292,2873.3246657614704,0.0,0.0,6605.7530157250185,No,No,No,0,0
27,8755,178.5586096034029,26.99897029423657,81.67356345784516,6467.512409765022,0,1,-0.1205366802553228,8773.784900917284,99.91844553958994,246.2939903482534,164.01749605425897,4820.89859646246,0.0,8773.784900917284,7939.800882033664,No,No,No,0,0
28,10394,198.1036422155106,26.078788306003144,68.42317087322567,12374.238126752483,1,1,-0.2393156642875574,10363.96806550406,178.5586096034029,99.91844553958994,246.2939903482534,5166.302947986489,10363.96806550406,10363.96806550406,9489.367324981333,No,No,No,0,0
29,12242,61.61260317999943,28.038536542632652,60.72947899294361,12102.076561708483,1,1,-0.3546048870425356,12227.415312510337,198.1036422155106,178.5586096034029,99.91844553958994,1727.5272257491388,12227.415312510337,12227.415312510337,11202.519326656882,No,No,No,0,0
30,14239,201.8862129753596,33.48618733521267,79.36416887721504,7598.028048650228,1,1,-0.464723172043768,14208.91466938853,61.61260317999943,198.1036422155106,178.5586096034029,6760.399548089535,14208.91466938853,14208.91466938853,13119.090023105522,No,No,No,0,0
31,16352,92.63103092182288,27.908826388186796,65.31332038221147,11507.774738569597,1,1,-0.5680647467311556,16444.613909225445,201.8862129753596,61.61260317999943,198.1036422155106,2585.223360155918,16444.613909225445,16444.613909225445,15214.97932731514,No,No,No,0,0
32,18536,66.26289824631988,29.669115595690293,88.21375753058743,10977.571015960602,0,1,-0.663122658240795,18535.325138763103,92.63103092182288,201.8862129753596,61.61260317999943,1965.961587775528,0.0,18535.325138763103,17385.43396251739,No,No,No,0,0
33,20661,287.2213843133333,31.3271706300566,88.61785731007762,14237.751470783249,0,1,-0.7485107481711011,20608.114453552203,66.26289824631988,92.63103092182288,201.8862129753596,8997.833314984855,0.0,20608.114453552203,19468.080330418197,Yes,Yes,No,1,0
34,22586,291.40800826863983,28.272666421413646,87.44593170661345,14526.404763014658,1,1,-0.8229838658936564,22627.12724560516,287.2213843133333,66.26289824631988,92.63103092182288,8238.881410307804,22627.12724560516,22627.12724560516,21516.670209976033,Yes,Yes,No,1,0
35,24276,252.09933702911528,33.746038744488644,71.10476100766333,5679.560146580668,0,0,-0.8854560256532096,24214.95781750145,291.40800826863983,287.2213843133333,66.26289824631988,8507.353994844425,0.0,0.0,23341.65100295849,Yes,Yes,Yes,1,1
36,25514,126.15344229334268,33.662025654479,60.463698495866026,10619.189219397069,0,0,-0.9350162426854148,25524.443179750237,252.09933702911528,291.40800826863983,287.2213843133333,4246.580410879337,0.0,0.0,24804.226230513403,No,Yes,No,1,0
37,26243,74.41802850159597,27.26604066242828,87.84955687763176,14387.898735713548,1,0,-0.970941817426052,26145.01649380601,126.15344229334268,252.09933702911528,291.40800826863983,2029.0849911422624,26145.01649380601,0.0,25803.701171075336,No,Yes,No,1,0
38,26426,221.05825662803923,29.47523655303147,72.84552444951943,12547.043878701315,0,1,-0.992708874098054,26359.59069755508,74.41802850159597,126.15344229334268,252.09933702911528,6515.744406112193,0.0,26359.59069755508,26241.574885493093,No,Yes,No,1,0
39,26047,160.0381234349003,27.707904788350927,88.99964457131009,17847.347617824835,0,1,-1.0,26056.843061793457,221.05825662803923,74.41802850159597,126.15344229334268,4434.321086640571,0.0,26056.843061793457,26241.574885493093,No,Yes,No,1,0
40,25122,80.5095587111947,27.56356444939721,88.90859931267758,14880.404474284174,0,1,-0.992708874098054,25158.923328999772,160.0381234349003,221.05825662803923,74.41802850159597,2219.130410328544,0.0,25158.923328999772,26241.574885493093,No,Yes,No,1,0
41,23714,173.79422752781755,25.331982526190796,85.5902836640208,7444.016406221445,0,0,-0.970941817426052,23722.568414059497,80.5095587111947,160.0381234349003,221.05825662803923,4402.552334887501,0.0,0.0,26241.574885493093,No,Yes,No,1,0
